id,Attack Vector,attackComplexity,confidentialityImpact,integrityImpact,availabilityImpact,baseScore,baseSeverity,exploitabilityScore,impactScore,year,AttackVectorNumeric,ConfidentialityImpactNumeric,IntegrityImpactNumeric,BaseSeverityNumeric,AvailabilityImpactNumeric,AttackVectorEncoded
CVE-2019-5467,NETWORK,LOW,LOW,LOW,NONE,5.4,MEDIUM,2.3,2.7,2019,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-5471,NETWORK,LOW,LOW,LOW,NONE,5.4,MEDIUM,2.3,2.7,2019,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-5473,NETWORK,LOW,HIGH,HIGH,HIGH,7.2,HIGH,1.2,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-5476,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-5478,LOCAL,LOW,NONE,HIGH,NONE,5.5,MEDIUM,1.8,3.6,2019,1.0,1.0,0.0,1.0,1.0,"(3,[1],[1.0])"
CVE-2019-5479,NETWORK,LOW,NONE,HIGH,NONE,7.5,HIGH,3.9,3.6,2019,0.0,1.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-5483,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-5591,ADJACENT NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,2.8,3.6,2019,2.0,0.0,1.0,1.0,1.0,"(3,[2],[1.0])"
CVE-2019-5592,NETWORK,HIGH,HIGH,NONE,NONE,5.9,MEDIUM,2.2,3.6,2019,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-5608,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-5609,NETWORK,LOW,NONE,HIGH,NONE,7.5,HIGH,3.9,3.6,2019,0.0,1.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-5610,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-5611,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-5635,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-5645,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-6112,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2019,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6143,NETWORK,LOW,HIGH,HIGH,NONE,9.1,CRITICAL,3.9,5.2,2019,0.0,0.0,0.0,2.0,1.0,"(3,[0],[1.0])"
CVE-2019-6165,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2019,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2019-6171,PHYSICAL,LOW,HIGH,HIGH,HIGH,6.8,MEDIUM,0.9,5.9,2019,3.0,0.0,0.0,1.0,0.0,"(3,[],[])"
CVE-2019-6177,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-6178,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6179,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-6182,NETWORK,LOW,NONE,HIGH,NONE,4.9,MEDIUM,1.2,3.6,2019,0.0,1.0,0.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6258,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-6643,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-6644,NETWORK,LOW,HIGH,HIGH,LOW,9.4,CRITICAL,3.9,5.5,2019,0.0,0.0,0.0,2.0,2.0,"(3,[0],[1.0])"
CVE-2019-6645,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-6647,NETWORK,LOW,NONE,NONE,LOW,5.3,MEDIUM,3.9,1.4,2019,0.0,1.0,1.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2019-6648,LOCAL,LOW,HIGH,NONE,NONE,4.4,MEDIUM,0.8,3.6,2019,1.0,0.0,1.0,1.0,1.0,"(3,[1],[1.0])"
CVE-2019-6695,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-6698,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-6782,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-6783,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-6784,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2019,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6785,NETWORK,LOW,NONE,NONE,HIGH,6.5,MEDIUM,2.8,3.6,2019,0.0,1.0,1.0,1.0,0.0,"(3,[0],[1.0])"
CVE-2019-6786,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,2.8,3.6,2019,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6788,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-6789,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6792,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6793,NETWORK,HIGH,LOW,HIGH,LOW,7.0,HIGH,2.2,4.7,2019,0.0,2.0,0.0,0.0,2.0,"(3,[0],[1.0])"
CVE-2019-6794,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6795,NETWORK,LOW,LOW,LOW,NONE,5.4,MEDIUM,2.8,2.5,2019,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6960,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-6995,NETWORK,LOW,NONE,HIGH,NONE,6.5,MEDIUM,2.8,3.6,2019,0.0,1.0,0.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6996,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-6997,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-7005,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-7307,LOCAL,HIGH,HIGH,HIGH,HIGH,7.0,HIGH,1.0,5.9,2019,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2019-7410,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2019,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-7965,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8002,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8003,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8004,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8005,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8006,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8007,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8008,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8009,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8010,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8011,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8012,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8013,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8014,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8015,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8016,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8017,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8018,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8019,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8020,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8021,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8022,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8023,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8024,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8025,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8026,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8027,NETWORK,LOW,LOW,LOW,LOW,6.3,MEDIUM,2.8,3.4,2019,0.0,2.0,2.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2019-8028,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8029,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8030,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8031,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8032,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8033,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8034,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8035,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8036,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8037,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8038,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8039,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8040,NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,2.8,3.6,2019,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8041,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8042,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8043,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8044,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8045,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8046,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8047,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8048,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8049,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8050,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8051,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8052,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8053,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8054,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8055,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8056,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8057,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-8058,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8059,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8060,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8061,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8077,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8094,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8095,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8096,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8097,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8098,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8099,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8100,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-8101,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8102,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8103,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8104,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8105,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8106,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2019,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2019-8444,NETWORK,LOW,LOW,LOW,NONE,5.4,MEDIUM,2.3,2.7,2019,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8445,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8446,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2019,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2019-8460,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-9010,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2019,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2019-9012,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-9013,ADJACENT NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2019,2.0,0.0,0.0,0.0,0.0,"(3,[2],[1.0])"
CVE-2019-9245,LOCAL,LOW,HIGH,NONE,NONE,4.4,MEDIUM,0.8,3.6,2019,1.0,0.0,1.0,1.0,1.0,"(3,[1],[1.0])"
CVE-2019-9248,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9270,LOCAL,LOW,HIGH,HIGH,HIGH,7.8,HIGH,1.8,5.9,2019,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2019-9271,LOCAL,HIGH,HIGH,HIGH,HIGH,6.4,MEDIUM,0.5,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9273,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9274,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9275,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9426,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9436,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9442,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9443,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9445,LOCAL,LOW,HIGH,NONE,NONE,4.4,MEDIUM,0.8,3.6,2019,1.0,0.0,1.0,1.0,1.0,"(3,[1],[1.0])"
CVE-2019-9450,LOCAL,HIGH,HIGH,HIGH,HIGH,6.4,MEDIUM,0.5,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9451,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9452,LOCAL,LOW,HIGH,NONE,NONE,4.4,MEDIUM,0.8,3.6,2019,1.0,0.0,1.0,1.0,1.0,"(3,[1],[1.0])"
CVE-2019-9453,LOCAL,LOW,HIGH,NONE,NONE,4.4,MEDIUM,0.8,3.6,2019,1.0,0.0,1.0,1.0,1.0,"(3,[1],[1.0])"
CVE-2019-9454,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9455,LOCAL,LOW,LOW,NONE,NONE,2.3,LOW,0.8,1.4,2019,1.0,2.0,1.0,3.0,1.0,"(3,[1],[1.0])"
CVE-2019-9456,LOCAL,LOW,HIGH,HIGH,HIGH,6.7,MEDIUM,0.8,5.9,2019,1.0,0.0,0.0,1.0,0.0,"(3,[1],[1.0])"
CVE-2019-9458,LOCAL,HIGH,HIGH,HIGH,HIGH,7.0,HIGH,1.0,5.9,2019,1.0,0.0,0.0,0.0,0.0,"(3,[1],[1.0])"
CVE-2019-9461,ADJACENT NETWORK,LOW,HIGH,NONE,NONE,6.5,MEDIUM,2.8,3.6,2019,2.0,0.0,1.0,1.0,1.0,"(3,[2],[1.0])"
CVE-2019-9511,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-9512,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2019-9513,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2019,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
